domain,has_booking,booking_platform,reasoning,source,provider_name,country_name,continent
freizeitspass-dresden.de,t,,"The website has clear booking UI with buttons for 'Schlauchboot-Touren' and 'So funktioniert´s', indicating booking capability.",llm_html,Freizeitspass Dresden,Germany,EU
diginautic.com,t,WooCommerce,"The website features a shop with products available for direct purchase, indicating an online booking system.",llm_markdown_v1,Diginautic,United Kingdom,EU
historicedinburghtours.co.uk,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system is in place.",llm_html,Historic Edinburgh Tours,United Kingdom,EU
escuelacantabradesurf.com,t,,"The site has multiple 'Reserva ya' buttons and links to booking pages, indicating online booking capability.",llm_html,Escuela CáNtabra De Surf,Spain,EU
pahtaoutdoor.fi,f,,The website does not have an online booking system; it only provides contact information for inquiries.,llm_markdown_v1,Pahta Outdoor,Finland,EU
serafica.it,f,,The website does not have an online booking system; it only features a shopping cart for products.,llm_markdown_v1,Ireca Di Serafica Gioacchino,Italy,EU
hillsinmind.co.uk,f,,The website only offers 'Enquire Now' options and does not have an online booking system.,llm_markdown_v1,Hills In Mind,United Kingdom,EU
garbincharter.com,t,,"The site has clear booking buttons for boats and tours, indicating online booking capability without a known platform.",llm_html,Garbin Charter,Croatia,EU
jetblastibiza.com,t,Bokun,"The website contains an embedded Bokun widget for online bookings, allowing customers to book and pay for experiences.",llm_html,Jetblast Ibiza Water Sports,Spain,EU
bestroadtrip.fr,t,,The site has clear booking options with links to 'tarif & réservation' but no known booking platform found.,llm_html,Best Road Trip,France,EU
southcrete.gr,f,,The website does not mention any online booking system or provide booking buttons; it focuses on contact for reservations.,llm_markdown_v1,Mavrakis G.N.,Greece,EU
groningergidsenteam.nl,t,,"The site has clear booking UI with buttons like 'Tour aanvragen' and 'Vraag een stadswandeling aan', indicating booking capability.",llm_html,Groningen Gidsenteam,Netherlands,EU
welcometotransylvania.ro,t,,"The site has a 'Book Now' button that leads to a booking page, indicating online booking capability.",llm_html,On_The_Map_Ro,Romania,EU
edencatamaran.com,t,,"The site has clear booking UI with buttons for 'READ MORE (10% ONLINE DISCOUNT)' and 'READ MORE (UP TO 10% ONLINE DISCOUNT)', indicating booking options.",llm_html,Eden-Catamaran,Spain,EU
autoservizidellabidia.it,f,,The website does not have an online booking system; it only offers contact forms and requests for quotes.,llm_markdown_v1,Autoservizi Dbtuscany,Italy,EU
h2oaventura.com,t,,"The website explicitly states 'Faites votre réservation en ligne' indicating an online booking system, but no specific platform is mentioned.",llm_markdown_v1,H2o Actividades Acuaticas,Spain,EU
aircat.cat,t,,"The site has a clear booking button for purchasing tickets directly, indicating online booking capability.",llm_html,Aircat,Spain,EU
kokokayakjavea.com,t,,"The site has a 'Reservar Excursión' button leading to a booking page, indicating online booking capability.",llm_html,Kokokayak,Spain,EU
karmaboat.com,t,,"The site has a 'BOOK NOW' button that leads to a booking page, indicating online booking capability.",llm_html,Karma Boat,Portugal,EU
gemmapell.com,t,,"Multiple 'BOOKING DETAILS' links suggest booking options, but no known platform or checkout flow is present.",llm_html,Gemma Pell,France,EU
gulliverservizituristici.it,f,,The website does not provide any online booking system or direct payment options; it only offers contact details for inquiries.,llm_markdown_v1,Gulliver Servizi Turistici,Italy,EU
luzzutours.com,t,FareHarbor,"The site uses an iframe from fareharbor.com, indicating an online booking system.",llm_html,Luzzu Tours Malta,Netherlands,EU
poetessaboattour.com,t,,"The site has a 'BOOK NOW YOUR TOUR' button leading to a contact page, indicating booking capability without a known platform.",llm_html,Poetessa,Italy,EU
selectiontours.com,t,,"The website has a 'Proceed Booking' section and allows account creation for tracking bookings, indicating an online booking system.",llm_markdown_v1,Selection Tours,,
trinity-yachting.gr,t,FareHarbor,The website includes 'Book Now' buttons and uses FareHarbor for online bookings.,llm_markdown_v1,Trinity Yachting,Greece,EU
lariocomoboat.it,t,,"The website has multiple 'Prenota Ora' buttons linking to a booking page, indicating online booking capability.",llm_html,Lario Como Boat,Italy,EU
nccnapolicarservice.com,f,,The website does not provide an online booking system; it offers services via contact forms and quotes instead.,llm_markdown_v1,Ncc Napoli Car Service,Italy,EU
elysium.cruises,t,,The site includes a booking form shortcode and clear booking UI elements like 'Book Your Sailing Yacht Charter Here'.,llm_html,Elysium Yachting,Greece,EU
sorrentocharterboats.it,t,,"The site has clear booking UI with buttons like 'SCOPRI I TOUR' and 'VEDI TUTTI I TOUR', indicating booking capability.",llm_html,G.F. Charter Di Francesco Gaeta Paolo,Italy,EU
deepsarinaescursioni.com,t,,"The site has clear booking UI with options to book excursions and prices displayed, but no known booking platform was identified.",llm_html,Deep Sarina Di Mure' Stefano,Italy,EU
nortsav.fi,t,Booking.com,The site includes a link to check availability and book accommodations directly via Booking.com.,llm_markdown_v1,Nortsav,Finland,EU
chartersystemsorrento.com,t,,The site has clear booking UI with 'BOOK A TOUR' button and mentions of online booking and instant confirmation.,llm_html,Charter System Experience,Italy,EU
conficon-turisme.com,t,,"The site has a 'RESERVA AHORA TU EXPERIENCIA' button and clear booking UI, but no known platform integration.",llm_html,Conficon Turisme I Tradicions,Spain,EU
tuscan-safari.it,t,Regiondo,"The website uses Regiondo for booking experiences, indicated by links and booking buttons.",llm_markdown_v1,Tuscansfari,Italy,EU
belfastcitysightseeing.com,t,,"The site has multiple 'BOOK ONLINE NOW' buttons and clear pricing, indicating an online booking system.",llm_html,Belfast City Sightseeing,United Kingdom,EU
amoitalytravel.it,f,,No clear booking UI or known booking platform found; only links to destinations and itineraries.,llm_html,Amo Italy S.R.L.,,
rigabycanal.lv,t,,"The site has multiple 'Buy tickets' buttons and clear booking options, but no known booking platform integration.",llm_html,Kanala Motorlaivu Kompanija,Latvia,EU
veggera.com,t,,"The site has a booking button, date picker, and guest selector, indicating online booking capability.",llm_html,Veggera,Greece,EU
pompeii.org.uk,f,,The website does not provide an online booking system; it suggests checking availability and contacting for reservations.,llm_markdown_v1,Catalina Eurotravel,United Kingdom,EU
thechocolatecocktailclub.co.uk,t,,"The site has multiple 'BOOK NOW' buttons linking to a booking page, indicating online booking capability.",llm_html,The Chocolate Cocktail Club Ltd,United Kingdom,EU
parafly.at,t,,"The site has a 'JETZT FLUG BUCHEN' button indicating booking capability, but no known booking platform was found.",llm_html,Flugschule Parafly,Austria,EU
visitaranjuez.com,t,TuriTop Booking System,"The website uses TuriTop for online reservations, allowing customers to book experiences directly.",llm_markdown_v1,Visitaranjuez,Spain,EU
bonnieandclydeurbantours.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system.",llm_html,Gagnier Marie Claire,Netherlands,EU
poggioailaghi.com,t,,"Multiple 'Book Now' buttons are present, indicating online booking capability, but no known platform was identified.",llm_html,Poggio Ai Laghi,Italy,EU
fly4you.at,t,,"The site has a clear booking button ('Flug buchen') and mentions online reservations, but no known booking platform is detected.",llm_html,Fly4you Erich Plieschounig,Austria,EU
fuerteventurafullexperience.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system.",llm_html,Fuerteventura Full Experience,Spain,EU
storywalking.tours,t,,"The site has a search form for experiences with a 'Let’s go' button, indicating booking capability, but no known platform.",llm_html,Storywalking,Italy,EU
visite.pl,t,,"The site has a 'Kup Bilet online' link for purchasing tickets, indicating online booking capability.",llm_html,Biuro Turystyki Szkoleń I Konferencji Visite Pl Daria Kieraszewicz,Poland,EU
bikerentalbarcelona.com,t,,"The site has clear booking buttons for bike rentals and tours, indicating online booking capability.",llm_html,A Bike R&T,Spain,EU
funsun.pt,t,FareHarbor,"The website uses FareHarbor's iframe for booking, indicating online booking capability.",llm_html,AntóNio Ricardo Correia Moreira,Portugal,EU
eosyachts.gr,t,,"The site has multiple 'Book Now' buttons and clear booking UI, but no known booking platform was identified.",llm_html,Eos Yachts,Greece,EU
charterayacht.gr,t,,"The site has a booking form with date selection and a 'On-line Booking here!' button, indicating direct booking capability.",llm_html,Porto Scuba,Greece,EU
setsailscrete.com,t,,"The site has clear booking UI with options to book trips, including prices and 'Book now' buttons, but no known platform integration.",llm_html,Sailing Crete,Greece,EU
trevotour.com,t,Bokun,"The website uses Bokun's widget for online booking, allowing customers to book and pay for experiences directly.",llm_html,Madana Travels,Japan,AS
parisboatclub.fr,t,,"The site has multiple 'Book now' buttons and a checkout flow, indicating online booking capability.",llm_html,Ettore Riva Productions,France,EU
happy-tours.biz,t,,"The site has multiple 'Book Now' buttons and links to specific tours, indicating a booking system, but no known platform was identified.",llm_html,Happy Tours Scotland,United Kingdom,EU
viaappia.guide,t,,The website allows booking bike and walking tours directly with a 'Check Availability' button and links to specific tours.,llm_html,Personal Travels,Italy,EU
alicantecatamaran.com,f,,The content does not mention any online booking system or provide direct booking options.,llm_markdown_v1,Alicante Catamaran,Spain,EU
red-adventures.com,t,,"The site has a booking form with adventure type and duration selection, along with a 'Find your adventure' button.",llm_html,Evo Tours,Croatia,EU
lakecomoboatexperience.com,f,,No online booking system detected; only 'Book Now' button without checkout functionality.,llm_markdown_v1,Lakecomoboatexperience,Italy,EU
viajescaminodesantiago.com,t,,"The website allows online reservations directly through its platform, indicating an online booking system.",llm_markdown_v1,Activa Camino,Spain,EU
noleggioleisole.com,t,Regiondo,The website has multiple 'Prenota' buttons linked to Regiondo for booking tours and rentals.,llm_html,Dream Light,Italy,EU
vilamourayachts.com,t,,"The site has a 'Book Now' button linking to WhatsApp for reservations, indicating booking capability without a known platform.",llm_html,Luxury Reference,Portugal,EU
given2flyadventures.com,t,,"Multiple 'Book Now' buttons are present with pricing, indicating a booking system, but no known platform was found.",llm_html,Mariana AndrijaŠEviĆ,Croatia,EU
mkswatersports.com,f,,The website does not have an online booking system; it only provides contact information for inquiries.,llm_markdown_v1,Mks Canary Water Sports,Spain,EU
cotswoldtoursandtravel.com,f,,The website does not provide any online booking options or payment systems; it only offers contact forms for inquiries.,llm_markdown_v1,Albiontouring,United Kingdom,EU
raygotours.co.uk,f,,The website does not have an online booking system; it only provides contact information for inquiries.,llm_markdown_v1,Raygotours,United Kingdom,EU
ilestours.co.uk,t,FareHarbor,The website includes a 'BOOK NOW' button that links to a FareHarbor booking system for tours.,llm_markdown_v1,Iles Group,United Kingdom,EU
opatrip.com,t,,"The site offers direct booking with payment options and instant confirmation for tours, indicating an online booking system.",llm_markdown_v1,Opatrip.Com U.S.,United States,NA
portosailingspot.com,t,WooCommerce,"The site has 'Add to cart' buttons and a checkout flow, indicating an online booking system.",llm_markdown_v1,Deckspot,Portugal,EU
vespaenjoy.it,t,,"The website has a booking form with options for selecting dates and participants, indicating an online booking system.",llm_markdown_v1,Rent Sprint Di Bianco Salvatore,Italy,EU
segwaycruisecopenhagen.com,t,,"The site has multiple 'Book online now' buttons and clear booking UI, but no known platform integration.",llm_html,Segway Cruise Copenhagen,Denmark,EU
nemosub.it,t,,"The site has clear booking UI with options to choose locations and a call to action to book tours, but no known platform was identified.",llm_html,Nemosub Mondello,Italy,EU
ljubljanskigrad.si,t,WooCommerce,The website has a 'Compra il biglietto!' button that leads to an online ticket purchase system.,llm_markdown_v1,Public Institution Ljubljana Castle,Slovenia,EU
northernyachting.com,t,,"The site has a 'BOOK NOW' button and links to specific tours, indicating booking capability, but no known platform integration.",llm_html,Northern Yachting,Norway,EU
